Date,Open,High,Low,Close,Adj Close,Volume
2020-02-12,511.000000,519.299988,511.000000,516.049988,512.479736,20259
2020-02-13,525.000000,525.000000,498.000000,501.200012,497.732513,42361
2020-02-14,508.899994,508.899994,500.950012,503.100006,499.619385,19233
2020-02-17,507.000000,507.000000,492.350006,499.149994,495.696686,267641
2020-02-18,501.950012,501.950012,480.100006,486.049988,482.687317,46719
2020-02-19,489.500000,497.250000,487.450012,494.850006,491.426453,36814
2020-02-20,499.899994,514.500000,490.000000,505.799988,502.300690,54483
2020-02-24,504.000000,562.000000,502.700012,544.500000,540.732971,522546
2020-02-25,553.000000,562.000000,535.000000,552.150024,548.330017,168936
2020-02-26,549.900024,559.799988,542.700012,554.250000,550.415466,117546
2020-02-27,558.000000,577.000000,542.799988,568.799988,564.864807,523312
2020-02-28,567.900024,567.900024,522.349976,528.000000,524.347107,166382
2020-03-02,530.000000,554.750000,530.000000,546.849976,543.066650,138872
2020-03-03,560.000000,561.450012,500.000000,527.799988,524.148499,99395
2020-03-04,535.549988,537.849976,511.250000,523.950012,520.325134,1337821
2020-03-05,529.799988,536.950012,522.049988,532.150024,528.468384,586881
2020-03-06,511.000000,517.900024,496.000000,504.799988,501.307587,161585
2020-03-09,500.000000,514.000000,497.700012,505.899994,502.399994,57378
2020-03-11,504.000000,509.000000,497.799988,501.950012,501.950012,139397
2020-03-12,494.899994,494.899994,465.000000,481.500000,481.500000,500704
2020-03-13,420.549988,482.000000,400.000000,470.500000,470.500000,168541
2020-03-16,452.549988,483.299988,423.549988,471.100006,471.100006,174182
2020-03-17,460.000000,468.750000,439.000000,450.000000,450.000000,209476
2020-03-18,464.450012,464.450012,412.549988,429.500000,429.500000,87432
2020-03-19,401.750000,415.500000,376.000000,388.750000,388.750000,244572
2020-03-20,377.299988,401.799988,377.299988,385.549988,385.549988,654309
2020-03-23,320.000000,360.799988,309.000000,346.200012,346.200012,48491
2020-03-24,342.100006,353.049988,284.850006,302.200012,302.200012,159901
2020-03-25,300.000000,300.000000,285.200012,298.049988,298.049988,26142
2020-03-26,295.100006,317.399994,270.000000,310.149994,310.149994,379089
2020-03-27,315.000000,331.950012,304.000000,305.100006,305.100006,182754
2020-03-30,305.100006,305.350006,279.500000,281.600006,281.600006,56380
2020-03-31,282.549988,295.299988,270.000000,273.899994,273.899994,88815
2020-04-01,272.500000,278.000000,255.050003,258.799988,258.799988,132835
2020-04-03,259.000000,279.000000,254.000000,274.750000,274.750000,58407
2020-04-07,290.000000,298.000000,270.000000,284.500000,284.500000,102757
2020-04-08,283.000000,312.000000,280.000000,302.450012,302.450012,161245
2020-04-09,324.000000,326.350006,308.250000,314.250000,314.250000,34957
2020-04-13,325.000000,325.000000,300.000000,306.350006,306.350006,34075
2020-04-15,306.350006,336.950012,306.350006,328.899994,328.899994,81148
2020-04-16,338.000000,341.200012,315.000000,320.100006,320.100006,50009
2020-04-17,343.649994,345.000000,332.450012,339.600006,339.600006,54650
